ID,first_name,last_name,email,role,createdAt,createdBy,modifiedAt,modifiedBy
14588029-f74c-445a-8e59-5a55432703ec,first_name-14588029,last_name-14588029,email-14588029,EMPLOYEE,2001-07-17T00:00:00.000Z,createdBy.8oo71@example.com,2007-11-08T00:00:00.000Z,modifiedBy.8oo71@example.com
30883126-f6bd-4bb2-8472-869ae743f74e,first_name-30883126,last_name-30883126,email-30883126,MANAGER,2022-07-04T00:00:00.000Z,createdBy.idxkm@example.com,2013-04-03T00:00:00.000Z,modifiedBy.idxkm@example.net
30883127-2ae1-4898-857f-72ecec04690b,first_name-30883127,last_name-30883127,email-30883127,EMPLOYEE,2009-02-26T00:00:00.000Z,createdBy.idxkn@example.org,2002-06-01T00:00:00.000Z,modifiedBy.idxkn@example.com
30883128-90f8-459a-8651-5cda6795cc8d,first_name-30883128,last_name-30883128,email-30883128,EMPLOYEE,2001-09-10T00:00:00.000Z,createdBy.idxko@example.org,2023-09-17T00:00:00.000Z,modifiedBy.idxko@example.com
30883129-4152-4d60-bce2-6fd4fbfcf7d4,first_name-30883129,last_name-30883129,email-30883129,MANAGER,2007-04-07T00:00:00.000Z,createdBy.idxkp@example.net,2015-11-28T00:00:00.000Z,modifiedBy.idxkp@example.org
30883130-228c-47a5-baf7-37b863e2ffc3,first_name-30883130,last_name-30883130,email-30883130,EMPLOYEE,2008-03-11T00:00:00.000Z,createdBy.idxkq@example.net,2016-01-20T00:00:00.000Z,modifiedBy.idxkq@example.com
30883131-d551-4a4b-baf7-35de2989555e,first_name-30883131,last_name-30883131,email-30883131,ADMIN,2001-01-08T00:00:00.000Z,createdBy.idxkr@example.com,2017-04-21T00:00:00.000Z,modifiedBy.idxkr@example.org
30883132-4f7e-4a88-89c9-962f586c9c11,first_name-30883132,last_name-30883132,email-30883132,MANAGER,2018-05-07T00:00:00.000Z,createdBy.idxks@example.org,2006-10-26T00:00:00.000Z,modifiedBy.idxks@example.net
30883133-2bb6-4339-96f0-38d56127f5a2,first_name-30883133,last_name-30883133,email-30883133,MANAGER,2003-03-13T00:00:00.000Z,createdBy.idxkt@example.net,2013-02-17T00:00:00.000Z,modifiedBy.idxkt@example.com
30883134-5c9a-4c77-9b36-3abca3be744f,first_name-30883134,last_name-30883134,email-30883134,MANAGER,2019-09-11T00:00:00.000Z,createdBy.idxku@example.com,2020-04-16T00:00:00.000Z,modifiedBy.idxku@example.com
